Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Treatment,nationalism,nationalism_cat
Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,5,5,3,Canada,2,3,5,5,5,3,2.0,0,4.333333333333333,High
Female,Black or African American,Bachelor??s degree,Conservative,4,4,4,The United States,4,3,2,3,2,4,1.0,1,4.0,High
Female,White or Caucasian,Bachelor??s degree,Very conservative,4,5,4,Neither,4,4,3,5,3,2,2.0,1,4.333333333333333,High
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,4,4,4,The United States,4,4,4,4,4,3,5.0,0,4.0,High
Male,Asian,Bachelor??s degree,Very liberal,4,5,1,Canada,1,4,4,5,4,2,1.0,1,3.3333333333333335,High
Male,White or Caucasian,Bachelor??s degree,Very conservative,5,5,1,The United States,4,1,1,1,1,3,1.0,0,3.6666666666666665,High
Male,Black or African American,Bachelor??s degree,Moderate,4,4,3,The United States,3,4,4,4,4,3,3.0,0,3.6666666666666665,High
Male,White or Caucasian,Associates or technical degree,Moderate,5,5,3,The United States,1,1,3,5,1,4,5.0,1,4.333333333333333,High
Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,5,5,5,The United States,5,4,3,3,2,4,4.0,1,5.0,High
Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,4,4,4,The United States,4,4,4,4,4,3,4.0,1,4.0,High
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,5,5,3,The United States,4,4,4,5,4,2,1.0,0,4.333333333333333,High
Non-binary / third gender,Asian,Associates or technical degree,Very liberal,3,3,1,Canada,2,5,4,5,4,1,1.0,1,2.3333333333333335,Low
Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,4,4,5,The United States,4,4,4,5,4,3,4.0,0,4.333333333333333,High
Female,Black or African American,"Some college, but no degree",Liberal,3,4,3,Canada,2,4,4,5,4,2,2.0,1,3.3333333333333335,High
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,4,3,2,Canada,1,5,5,5,5,2,1.0,0,3.0,High
Female,Black or African American,Bachelor??s degree,Liberal,4,4,4,Canada,4,4,4,5,4,2,5.0,1,4.0,High
Female,White or Caucasian,"Some college, but no degree",Very conservative,5,5,3,The United States,2,4,3,4,3,4,1.0,0,4.333333333333333,High
Male,White or Caucasian,Bachelor??s degree,Conservative,4,5,3,Neither,3,2,4,2,3,2,4.0,1,4.0,High
Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,4,4,4,Canada,4,5,5,4,5,2,4.0,1,4.0,High
Female,White or Caucasian,Associates or technical degree,Very conservative,5,5,5,The United States,4,4,4,5,3,4,4.0,0,5.0,High
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,4,3,1,Neither,1,4,3,5,3,2,1.0,0,2.6666666666666665,Low
Female,Asian,Bachelor??s degree,Conservative,4,3,4,The United States,4,2,3,2,2,3,2.0,0,3.6666666666666665,High
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,5,5,4,Neither,2,4,4,5,4,2,,1,4.666666666666667,High
Male,Asian,Bachelor??s degree,Moderate,4,3,1,Neither,3,3,2,4,3,3,2.0,1,2.6666666666666665,Low
Female,White or Caucasian,Bachelor??s degree,Conservative,5,5,5,The United States,4,4,4,4,4,2,4.0,0,5.0,High
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,4,5,5,The United States,5,4,4,3,2,4,5.0,0,4.666666666666667,High
Female,White or Caucasian,Bachelor??s degree,Conservative,5,5,3,The United States,4,4,4,4,4,2,4.0,1,4.333333333333333,High
Male,White or Caucasian,High school diploma or GED,Prefer not to say,2,1,1,Canada,1,4,4,5,4,1,1.0,0,1.3333333333333333,Low
Female,White or Caucasian,Bachelor??s degree,Conservative,4,4,4,The United States,4,4,4,3,4,4,4.0,1,4.0,High
Male,Black or African American,"Some college, but no degree",Moderate,2,5,1,Canada,2,5,5,5,5,2,1.0,0,2.6666666666666665,Low
Male,Black or African American,Bachelor??s degree,Very conservative,4,5,3,The United States,4,2,2,4,2,2,4.0,0,4.0,High
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,4,5,5,The United States,4,4,4,4,2,4,4.0,1,4.666666666666667,High
Female,White or Caucasian,Bachelor??s degree,Conservative,3,3,3,The United States,2,4,4,4,4,4,4.0,1,3.0,High
Male,White or Caucasian,Associates or technical degree,Conservative,5,5,3,The United States,4,3,2,4,3,3,2.0,1,4.333333333333333,High
Male,White or Caucasian,High school diploma or GED,Very liberal,4,4,1,Canada,1,4,5,5,4,1,1.0,1,3.0,High
Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,2,2,1,Canada,2,4,5,5,4,2,2.0,0,1.6666666666666667,Low
Male,Asian,"Some college, but no degree",Very liberal,1,2,1,The United States,1,4,3,3,3,2,1.0,1,1.3333333333333333,Low
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,4,5,4,The United States,4,4,4,4,2,4,4.0,0,4.333333333333333,High
Female,Black or African American,Bachelor??s degree,Conservative,4,5,2,The United States,4,3,2,3,2,2,2.0,0,3.6666666666666665,High
Male,White or Caucasian,Bachelor??s degree,Moderate,5,5,4,The United States,4,3,1,3,3,4,3.0,0,4.666666666666667,High
Male,White or Caucasian,Bachelor??s degree,Moderate,4,5,3,The United States,3,4,5,3,3,3,4.0,0,4.0,High
Female,Black or African American,Bachelor??s degree,Liberal,4,4,2,The United States,2,4,5,5,4,2,1.0,0,3.3333333333333335,High
Male,White or Caucasian,Bachelor??s degree,Liberal,3,5,2,Canada,1,5,5,5,5,4,1.0,0,3.3333333333333335,High
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,1,2,3,The United States,4,4,4,5,4,3,3.0,0,2.0,Low
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,4,4,2,Canada,2,4,4,4,3,2,1.0,0,3.3333333333333335,High
Male,White or Caucasian,Bachelor??s degree,Liberal,5,5,1,The United States,1,3,4,5,3,3,1.0,0,3.6666666666666665,High
Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,4,4,4,Canada,2,4,5,5,5,2,2.0,1,4.0,High
Male,Black or African American,Bachelor??s degree,Very conservative,5,5,4,The United States,4,4,4,4,3,2,5.0,0,4.666666666666667,High
Male,White or Caucasian,Bachelor??s degree,Conservative,5,5,1,The United States,1,1,1,1,1,4,4.0,1,3.6666666666666665,High
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,4,4,1,The United States,4,4,4,5,4,2,2.0,0,3.0,High
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,5,5,5,Canada,4,4,4,3,3,3,4.0,1,5.0,High
Male,Asian,Bachelor??s degree,Liberal,5,5,2,The United States,5,4,4,5,3,3,3.0,0,4.0,High
Male,Black or African American,"Some college, but no degree",Very liberal,5,4,2,Canada,1,4,5,5,4,2,1.0,0,3.6666666666666665,High
Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,3,4,3,The United States,3,3,2,3,3,2,2.0,1,3.3333333333333335,High
Male,White or Caucasian,"Some college, but no degree",Conservative,5,5,1,Canada,2,5,5,5,4,3,1.0,0,3.6666666666666665,High
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,5,5,4,Neither,2,4,4,5,4,2,1.0,1,4.666666666666667,High
Male,White or Caucasian,Some high school or less,Very liberal,3,2,1,Canada,1,5,4,4,4,1,1.0,0,2.0,Low
Male,White or Caucasian,Associates or technical degree,Moderate,4,2,1,Canada,1,4,5,5,4,1,1.0,1,2.3333333333333335,Low
Female,Black or African American,Bachelor??s degree,Moderate,2,5,5,The United States,5,5,4,4,4,4,4.0,1,4.0,High
Male,White or Caucasian,High school diploma or GED,Moderate,5,1,5,Canada,3,5,4,5,3,2,1.0,0,3.6666666666666665,High
Female,Black or African American,Bachelor??s degree,Liberal,5,5,5,The United States,4,5,5,5,5,4,3.0,0,5.0,High
Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,5,5,5,The United States,5,4,4,5,2,4,4.0,0,5.0,High
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,5,5,4,Canada,2,5,5,5,5,1,1.0,1,4.666666666666667,High
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,5,5,5,The United States,5,5,5,5,3,4,4.0,0,5.0,High
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,4,2,2,Canada,2,1,4,5,5,2,1.0,1,2.6666666666666665,Low
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,4,4,2,Canada,1,2,5,5,4,2,1.0,1,3.3333333333333335,High
Female,"White or Caucasian,Other",Bachelor??s degree,Conservative,5,5,2,Neither,3,3,2,4,3,4,1.0,1,4.0,High
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,5,5,2,Canada,2,4,5,5,4,2,2.0,0,4.0,High
Female,White or Caucasian,"Some college, but no degree",Very liberal,4,2,1,Canada,1,4,5,5,5,1,1.0,0,2.3333333333333335,Low
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,4,4,4,The United States,4,2,2,2,2,3,3.0,1,4.0,High
Male,White or Caucasian,Bachelor??s degree,Conservative,5,5,2,The United States,4,2,2,2,1,3,3.0,0,4.0,High
Male,White or Caucasian,Bachelor??s degree,Very conservative,5,4,5,Neither,4,4,4,4,4,2,3.0,1,4.666666666666667,High
Male,Black or African American,Bachelor??s degree,Conservative,2,3,2,Neither,3,3,3,3,3,3,3.0,1,2.3333333333333335,Low
Male,White or Caucasian,Bachelor??s degree,Conservative,5,5,3,Neither,3,4,5,5,4,3,4.0,0,4.333333333333333,High
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,5,5,1,The United States,5,5,5,5,3,4,5.0,1,3.6666666666666665,High
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,5,5,3,Canada,2,2,4,5,4,2,2.0,1,4.333333333333333,High
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,5,5,5,The United States,5,2,2,1,2,4,4.0,1,5.0,High
Female,White or Caucasian,Associates or technical degree,Liberal,2,2,1,Canada,1,5,5,5,4,1,1.0,0,1.6666666666666667,Low
Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,5,4,1,Canada,2,5,5,5,4,2,1.0,0,3.3333333333333335,High
Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,4,4,4,Canada,4,4,4,4,4,2,2.0,0,4.0,High
Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,4,5,3,Neither,3,2,3,3,2,3,2.0,1,4.0,High
Male,White or Caucasian,Bachelor??s degree,Conservative,4,5,5,Canada,2,5,5,5,5,2,1.0,0,4.666666666666667,High
Male,White or Caucasian,High school diploma or GED,Moderate,5,5,1,The United States,2,4,4,5,4,3,2.0,1,3.6666666666666665,High
Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,4,5,5,The United States,5,5,2,4,2,4,5.0,0,4.666666666666667,High
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,5,5,4,The United States,4,5,4,4,4,3,2.0,1,4.666666666666667,High
Male,White or Caucasian,Bachelor??s degree,Very liberal,4,5,4,The United States,4,2,3,4,2,4,3.0,0,4.333333333333333,High
Female,White or Caucasian,Bachelor??s degree,Conservative,4,4,4,The United States,4,3,4,4,4,3,4.0,1,4.0,High
Male,Black or African American,Bachelor??s degree,Moderate,4,5,2,The United States,5,2,3,3,4,4,3.0,0,3.6666666666666665,High
Male,White or Caucasian,Bachelor??s degree,Conservative,5,4,2,Canada,2,4,4,5,5,1,1.0,1,3.6666666666666665,High
Female,White or Caucasian,Bachelor??s degree,Very liberal,4,5,3,Canada,2,5,5,5,5,2,1.0,1,4.0,High
Female,White or Caucasian,"Some college, but no degree",Moderate,5,4,4,Canada,4,4,4,4,4,4,5.0,0,4.333333333333333,High
Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,5,5,5,The United States,2,5,4,5,5,2,2.0,1,5.0,High
Male,White or Caucasian,Bachelor??s degree,Moderate,5,5,2,The United States,4,4,3,5,4,4,3.0,1,4.0,High
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,4,4,2,The United States,4,4,3,4,3,4,4.0,1,3.3333333333333335,High
Female,White or Caucasian,Bachelor??s degree,Very conservative,4,5,5,Neither,3,4,4,5,4,3,3.0,0,4.666666666666667,High
Male,"White or Caucasian,American Indian/Native American or Alaska Native",Associates or technical degree,Moderate,5,5,3,Neither,2,4,4,4,3,2,1.0,1,4.333333333333333,High
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,4,4,4,The United States,4,4,3,4,3,4,4.0,1,4.0,High
Female,Black or African American,High school diploma or GED,Liberal,4,3,4,Canada,2,4,4,4,4,2,2.0,0,3.6666666666666665,High
Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,3,4,1,Canada,2,5,4,5,4,1,1.0,0,2.6666666666666665,Low
Female,Black or African American,Bachelor??s degree,Very liberal,4,4,3,Canada,3,4,4,4,2,2,2.0,1,3.6666666666666665,High
Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,5,5,1,Canada,1,5,5,5,5,2,1.0,1,3.6666666666666665,High
Female,"White or Caucasian,American Indian/Native American or Alaska Native",Bachelor??s degree,Very liberal,3,2,1,Canada,1,5,5,5,4,1,1.0,1,2.0,Low
Male,White or Caucasian,High school diploma or GED,Moderate,4,4,1,Neither,2,5,3,5,4,1,1.0,0,3.0,High
Female,Black or African American,Bachelor??s degree,Very conservative,5,5,4,Canada,2,4,5,5,4,2,2.0,0,4.666666666666667,High
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,5,5,5,The United States,5,5,5,5,4,4,5.0,0,5.0,High
Female,Black or African American,Bachelor??s degree,Liberal,2,1,1,Canada,2,3,2,3,4,3,3.0,0,1.3333333333333333,Low
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,4,5,4,Canada,2,5,5,5,5,2,1.0,0,4.333333333333333,High
Male,White or Caucasian,"Some college, but no degree",Conservative,5,5,1,Other (please specify),2,3,2,5,2,2,3.0,0,3.6666666666666665,High
Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,5,5,5,The United States,5,4,4,4,4,4,5.0,1,5.0,High
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,4,5,5,The United States,5,5,4,4,1,4,5.0,1,4.666666666666667,High
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,5,5,5,The United States,4,4,4,4,3,3,3.0,0,5.0,High
Non-binary / third gender,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,1,1,1,The United States,5,4,5,4,4,2,3.0,0,1.0,Low
Female,Black or African American,Bachelor??s degree,Liberal,3,4,3,Canada,2,4,3,3,3,4,2.0,1,3.3333333333333335,High
Male,White or Caucasian,"Some college, but no degree",Liberal,4,5,2,The United States,2,4,5,5,4,2,1.0,1,3.6666666666666665,High
Female,White or Caucasian,Bachelor??s degree,Moderate,4,3,1,Canada,1,4,5,5,5,1,1.0,1,2.6666666666666665,Low
Female,White or Caucasian,Bachelor??s degree,Liberal,5,5,4,Canada,4,5,5,5,5,4,5.0,0,4.666666666666667,High
Male,White or Caucasian,Associates or technical degree,Very liberal,4,3,1,Canada,1,5,5,4,5,2,1.0,1,2.6666666666666665,Low
Male,Black or African American,Bachelor??s degree,Very liberal,4,4,4,Neither,4,4,4,4,4,2,4.0,0,4.0,High
Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,4,5,4,Canada,1,5,5,5,5,1,1.0,1,4.333333333333333,High
Female,White or Caucasian,"Some college, but no degree",Liberal,5,5,5,Canada,2,5,5,5,5,2,1.0,1,5.0,High
Female,White or Caucasian,Bachelor??s degree,Conservative,5,5,3,The United States,4,4,4,5,4,3,3.0,0,4.333333333333333,High
Male,White or Caucasian,"Some college, but no degree",Liberal,5,1,1,Canada,1,5,5,5,5,1,1.0,1,2.3333333333333335,Low
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,4,1,1,Canada,1,5,4,5,4,1,1.0,1,2.0,Low
Male,Asian,Bachelor??s degree,Moderate,3,4,2,Canada,2,4,5,5,4,2,1.0,0,3.0,High
Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,5,5,2,The United States,5,5,5,5,5,2,2.0,0,4.0,High
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,4,4,4,The United States,4,5,5,5,5,2,4.0,0,4.0,High
Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,5,3,2,The United States,4,4,3,2,2,3,4.0,1,3.3333333333333335,High
Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,5,5,5,Canada,2,4,5,5,4,2,1.0,1,5.0,High
Female,White or Caucasian,Bachelor??s degree,Very conservative,5,5,3,Canada,4,4,5,5,4,2,2.0,0,4.333333333333333,High
Male,White or Caucasian,"Some college, but no degree",Moderate,2,4,1,Neither,2,4,4,5,3,2,2.0,1,2.3333333333333335,Low
Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,3,5,3,Canada,1,5,5,5,4,2,1.0,0,3.6666666666666665,High
Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,5,5,4,Canada,4,4,4,4,4,2,2.0,0,4.666666666666667,High
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,4,5,5,The United States,5,4,2,2,3,4,5.0,0,4.666666666666667,High
Male,White or Caucasian,Bachelor??s degree,Conservative,4,5,4,The United States,4,4,4,4,4,3,5.0,0,4.333333333333333,High
Female,Black or African American,Bachelor??s degree,Very conservative,5,5,5,The United States,4,4,4,4,4,3,3.0,0,5.0,High
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,5,5,5,The United States,5,5,5,5,5,4,5.0,0,5.0,High
Female,White or Caucasian,Bachelor??s degree,Conservative,4,4,5,Canada,2,4,4,4,4,3,3.0,0,4.333333333333333,High
Male,White or Caucasian,Bachelor??s degree,Conservative,5,5,5,The United States,4,5,4,5,4,2,4.0,1,5.0,High
Female,Black or African American,Bachelor??s degree,Conservative,3,3,3,Canada,2,4,5,5,4,2,1.0,0,3.0,High
Female,White or Caucasian,Associates or technical degree,Very liberal,4,3,1,Canada,1,5,5,5,5,1,1.0,0,2.6666666666666665,Low
Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,5,5,5,The United States,5,2,2,2,3,4,5.0,1,5.0,High
Male,Black or African American,Bachelor??s degree,Conservative,5,5,3,The United States,4,3,4,5,3,3,2.0,0,4.333333333333333,High
Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,4,5,4,Neither,3,4,4,4,4,3,3.0,0,4.333333333333333,High
Male,Other,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,4,1,1,Canada,1,5,4,5,4,1,1.0,1,2.0,Low
Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,5,5,4,The United States,4,3,4,4,4,2,4.0,0,4.666666666666667,High
Male,Black or African American,High school diploma or GED,Liberal,1,1,5,Canada,1,4,4,5,4,2,2.0,1,2.3333333333333335,Low
Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,5,5,5,The United States,1,1,4,5,4,2,2.0,0,5.0,High
